Longitude,Latitude,TotalPowerDbm
117.497,24.21,-66.0476
117.497,24.219,-60.6276
117.497,24.228,-56.4289
117.497,24.237,-61.8565
117.497,24.246,-66.4003
117.497,24.255,-57.9563
117.497,24.264,-65.1397
117.497,24.273,-60.817
117.497,24.2819,-58.3176
117.497,24.2909,-58.0619
117.497,24.2999,-58.8646
117.497,24.3089,-58.7671
117.497,24.3179,-62.7849
117.497,24.3269,-55.4982
117.497,24.3359,-53.7979
117.497,24.3449,-51.4069
117.497,24.3539,-57.6468
117.497,24.3629,-58.5311
117.497,24.3719,-56.8553
117.497,24.3809,-61.873
117.497,24.3899,-62.7314
117.497,24.3989,-60.4892
117.497,24.4079,-52.4625
117.497,24.4168,-54.712
117.497,24.4258,-52.2294
117.497,24.4348,-48.8547
117.497,24.4438,-49.7244
117.497,24.4528,-50.1745
117.497,24.4618,-47.7148
117.497,24.4708,-56.7283
117.497,24.4798,-56.9116
117.497,24.4888,-57.5396
117.497,24.4978,-63.1483
117.497,24.5068,-59.3199
117.497,24.5158,-51.8732
117.497,24.5248,-56.827
117.497,24.5338,-56.1175
117.497,24.5428,-48.6561
117.497,24.5517,-52.9396
117.497,24.5607,-58.3991
117.497,24.5697,-59.5259
117.497,24.5787,-54.0231
117.497,24.5877,-52.5884
117.497,24.5967,-54.1968
117.497,24.6057,-66.5257
117.497,24.6147,-50.1269
117.497,24.6237,-53.605
117.497,24.6327,-50.937
117.497,24.6417,-57.3317
117.497,24.6507,-64.4318
117.497,24.6597,-60.963
117.497,24.6687,-59.0957
117.497,24.6777,-56.4764
117.497,24.6866,-59.9664
117.497,24.6956,-58.4589
117.497,24.7046,-57.95
117.497,24.7136,-61.2424
117.497,24.7226,-61.2225
117.497,24.7316,-55.2282
117.497,24.7406,-62.1132
117.497,24.7496,-59.6599
117.506,24.21,-55.074
117.506,24.219,-62.3233
117.506,24.228,-59.5956
117.506,24.237,-55.2376
117.506,24.246,-62.9639
117.506,24.255,-62.3568
117.506,24.264,-56.8387
117.506,24.273,-55.8283
117.506,24.2819,-59.447
117.506,24.2909,-64.5546
117.506,24.2999,-58.711
117.506,24.3089,-63.1724
117.506,24.3179,-59.4916
117.506,24.3269,-65.5526
117.506,24.3359,-48.1216
117.506,24.3449,-53.7066
117.506,24.3539,-53.5689
117.506,24.3629,-53.0417
117.506,24.3719,-50.4101
117.506,24.3809,-55.4953
117.506,24.3899,-61.4296
117.506,24.3989,-45.0981
117.506,24.4079,-59.6966
117.506,24.4168,-56.168
117.506,24.4258,-44.325
117.506,24.4348,-56.1224
117.506,24.4438,-51.6059
117.506,24.4528,-59.0538
